FOOD_CODE,NUTRIENT,QUANTITY
17009,013,-88
17009,015,0.14
17009,017,33
17009,019,11
17009,020,0
17010,001,0
17010,002,0
17010,005,0
17010,008,1
17010,009,0
17010,011,0
17010,012,93
17010,013,4
17010,015,0.02
17010,020,0
17013,001,0
17013,002,0
17013,005,430
17013,008,15
17013,009,430
17013,011,-99
17013,012,230
17013,013,1150
17013,015,0.03
17013,020,0
17015,001,0
17015,002,0
17015,005,445
17015,008,14
17015,009,445
17015,011,1.1
17015,012,67
17015,013,1010
17015,015,-99
17015,020,0
17018,001,0
17018,002,0
17018,005,750
17018,008,4
17018,009,750
17018,011,1
17018,012,285
17018,013,1200
17018,015,0.04
17018,020,0
17019,001,0
17019,002,0
17019,005,750
17019,008,4
17019,009,750
17019,011,1
17019,012,15
17019,013,1200
17019,015,0.04
17019,020,0
17020,001,0
17020,002,0
17020,005,445
17020,008,4
17020,009,445
17020,011,1
17020,012,275
17020,013,1320
17020,015,0.04
17020,020,0
17021,001,0
17021,002,0
17021,005,350
17021,008,4
17021,009,350
17021,011,0.2
17021,012,2
17021,013,1020
17021,015,0.04
17021,020,0
17023,001,3
17023,002,0
17023,005,839
17023,008,-88
17023,009,840
17023,011,0.8
17023,012,-99
17023,013,1200
17023,015,-99
17023,020,0
17026,001,0
17026,002,0
17026,005,805
17026,008,39
17026,009,805
17026,011,1.3
17026,012,6
17026,013,800
17026,015,-99
17026,020,0
17027,001,0
17027,002,0
17027,005,497
17027,008,-88
17027,009,497
17027,011,1.8
17027,012,-99
17027,013,990
17027,015,-99
17027,020,0
17028,001,0
17028,002,0
17028,005,575
17028,008,-88
17028,009,575
17028,011,2.5
17028,012,8
17028,013,830
17028,015,-99
17028,020,0
17031,001,0
17031,002,0
17031,005,-99
17031,008,-99
17031,009,-99
17031,011,0
17031,012,0
17031,013,-99
17031,015,-99
17031,017,61.4
17031,019,17.2
17031,020,0
17033,001,0
17033,002,0
17033,005,-99
17033,008,-99
17033,009,-99
17033,011,0
17033,012,0
17033,013,-99
17033,015,0.01
17033,020,0
17034,001,0
17034,002,0
17034,005,-99
17034,008,-99
17034,009,-99
17034,011,0
17034,012,0
17034,013,-99
17034,015,-99
17034,020,0
17036,001,0
17036,002,0
17036,005,-99
17036,008,-99
17036,009,-99
17036,011,0
17036,012,0
17036,013,-99
17036,015,-99
17036,020,0
17038,001,0
17038,002,0
17038,005,25
17038,008,-99
17038,009,25
17038,011,0
17038,012,0
17038,013,-99
17038,015,0.01
17038,020,0
17039,001,-99
17039,002,0
17039,005,-99
17039,008,-99
17039,009,-99
17039,011,0
17039,012,0
17039,013,-99
17039,015,-99
17039,017,23.9
17039,019,9.3
17039,020,0
17040,001,0
17040,002,0
17040,005,-99
17040,008,-99
17040,009,-99
17040,011,0
17040,012,0
17040,013,-99
17040,015,-99
17040,020,0
17041,001,0
