"CODE","ALT"
59,"GROUNDLINSEEDS"
59,"HAMELYS"
59,"HARVESTGOLD"
59,"HARVESTMOON"
59,"HEALTHCARE"
59,"HEALTHFOODSHOPSDELUXE"
59,"HEALTHFOODSHOPSUGARLE"
59,"HEALTHYEARTH"
59,"HEALTHYLIVIN"
59,"HEALTHYLIVING"
59,"HIGHFRUIT"
59,"HOMEMADEGLUTENFREEPU"
59,"HOMEMADEMIX"
59,"HOMEMADEWITHDRIEDFRUIT"
59,"HOMEMAKE"
59,"HOMEMOLE"
59,"HONEYMONSTERFOODS"
59,"HONEYORDINARY"
59,"HOUSEMADECHESHIRE"
59,"HOVIS"
59,"ICELANDSAINSBURYS"
59,"IMAKEMYOWN"
59,"IMAKEMYOWNGLUTENFREE"
59,"INFINITY"
59,"INFINITYFOODS"
59,"INLCUDESFRUITANDNUTS"
59,"INSTANT"
59,"IRISH"
59,"ITSP"
59,"JACOBSIFORGOT"
59,"JORDANALPEN"
59,"JORDANORSUPERMARKET"
59,"JORDANSANDOTHERSQUIT"
59,"JORDANSHOLLANDBARRAT"
59,"JORDANSMORNFLAKE"
59,"JORDANSNESTLES"
59,"JORDANSORHEALTHFOODS"
59,"JORDANSOROWNBRAND"
59,"JORDANSORSAINSBURYS"
59,"JORDANSSAISNBURYS"
59,"JORDANSTESCOS"
59,"KALLOORGANIC"
59,"KASHI"
59,"KASHISEVENGRAINS"
59,"KELLOGGSANDTESCO"
59,"KELLOGGSASDATESCO"
59,"KELLOGGSBUDGENS"
59,"KELLOGGSORANYSUPERMARKETBRAND"
59,"KELLOGGSOREQUIVALENT"
59,"KELLOGGSOWNBRANDSTES"
59,"KELLOGGSSAINSBURYTESCO"
59,"KELLOGGSTESCOMORRISON"
59,"KELLOGSJORDANS"
59,"KELLOGSOROWNBRAND"
59,"KELLOGSORSUPERMKTSOWN"
59,"KELLOGSORTESCOS"
59,"KELLOGSORWAITROSE"
59,"KELLOGSTESCO"
59,"KELLOGSTESCOCOOP"
59,"KELLOGSWAITROSE"
59,"KINGSMILL"
59,"KOSHI"
59,"L"
59,"LIDLSGOLDENBOY"
59,"LIDLSOWNBRAND"
59,"LIDYLS"
59,"LINSEEDGOLD"
59,"LINSEEDS"
59,"LIOL"
59,"LOCALDELI"
59,"LOCALLYMADE"
59,"LOCALSHOPNOBRAND"
59,"LOCALSHOPSOWN"
59,"LOCALSUPERMARKET"
59,"LOCALSUPPLIER"
59,"LOWGLDIET"
59,"LOWSUGAR"
59,"LUINA"
59,"MADEBYHEALTHCLUBINCLUDESDATESOATSRAI"
59,"MAINSUPERMARKETS"
59,"MAIZEMEAL"
59,"MAIZEX6WK"
59,"MAKEOWNMIX"
59,"MAKEUPMYOWN"
59,"MALTED"
59,"MEALSTORESOWN"
59,"MEDITERRANEANBREAKFAST"
59,"MESASUNRISEORGANIC"
59,"MESCI"
59,"MIDFIELDS"
59,"MILLETSFARM"
59,"MINI"
59,"MISC"
59,"MIXEDFROMAR"
59,"MOORCROFTGOLD"
59,"MORRIOSONSOWN"
59,"MORRISONOWN"
59,"MORRISONSORTESCOSOWN"
59,"MORRISONSOWN"
59,"MORRISONSOWNNOSUGAR"
59,"MORRISONSSOMERFIELD"
59,"MORRISONSTESCO"
59,"MOSTMAKESBU"
59,"MSSCOTTS"
59,"MULTIBRANDS"
59,"MYOWNMAKE"
59,"MYOWNMIX"
59,"NABISCOKELLOGS"
59,"NABISCOTESCO"
59,"NATURALDAYS"
59,"NATURALNOADDEDSUGAR"
59,"NATURALOGANIC"
59,"NATURESPLAN"
59,"NATURIESPATH"
59,"NEALSYARDHOLLANDBARR"
